Transport type and mode,2022 emphasised (ktPM10),Proportion of domestic transport emissions 2022 (%),Percentage change 2021 to 2022 (%),Percentage change 2012 to 2022 (%),Percentage change 1990 to 2022 (%),1990 (ktPM10),1991 (ktPM10),1992 (ktPM10),1993 (ktPM10),1994 (ktPM10),1995 (ktPM10),1996 (ktPM10),1997 (ktPM10),1998 (ktPM10),1999 (ktPM10),2000 (ktPM10),2001 (ktPM10),2002 (ktPM10),2003 (ktPM10),2004 (ktPM10),2005 (ktPM10),2006 (ktPM10),2007 (ktPM10),2008 (ktPM10),2009 (ktPM10),2010 (ktPM10),2011 (ktPM10),2012 (ktPM10),2013 (ktPM10),2014 (ktPM10),2015 (ktPM10),2016 (ktPM10),2017 (ktPM10),2018 (ktPM10),2019 (ktPM10),2020 (ktPM10),2021 (ktPM10),2022 (ktPM10)
"Domestic road transport, Exhaust emissions, Cars and taxis",1.1,5%,-11%,-75%,-80%,5.6,6.3,7.1,7.5,7.8,8.1,8.6,8.3,8.3,8.1,6.8,6.6,6.4,6.2,6.1,6,5.8,5.8,5.8,5.6,5.4,4.8,4.5,4.1,3.5,3.2,2.9,2.5,2.2,1.9,1.2,1.2,1.1
"Domestic road transport, Exhaust emissions, Light vans",0.5,2%,-14%,-81%,-90%,5.5,6.8,7.3,8.1,8.5,8.1,8,7.5,7.4,7,5.8,5.7,5.3,5.1,5,4.8,4.4,4.2,3.8,3.5,3.5,3,2.8,2.5,2.1,1.8,1.6,1.3,1.1,0.9,0.6,0.6,0.5
"Domestic road transport, Exhaust emissions, Heavy goods vehicles",0.2,1%,-16%,-86%,-97%,9.2,9.1,8.8,8.9,8.8,8.7,8.6,8.2,7.7,7.3,6.4,6,5.7,5.4,5.2,4.8,4.5,4.1,3.3,2.7,2.4,2.1,1.8,1.5,1.3,1.1,0.9,0.7,0.6,0.4,0.3,0.3,0.2
"Domestic road transport, Exhaust emissions, Buses and coaches",0.1,0%,2%,-83%,-97%,2.6,2.8,2.7,2.7,2.7,2.7,2.5,2.3,2.1,1.9,1.5,1.3,1.2,1.1,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1
"Domestic road transport, Exhaust emissions, Motorcycles and mopeds",0,0%,-1%,-63%,-92%,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
"Domestic road transport, Exhaust emissions, Other [note 3]",0,0%,0%,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0,0,0,0,0
"Total domestic road transport, Exhaust emissions",2,8%,-12%,-79%,-91%,23.1,25.1,26.1,27.4,27.8,27.7,27.9,26.5,25.6,24.5,20.7,19.8,18.7,18,17.3,16.5,15.7,14.8,13.7,12.4,11.9,10.4,9.5,8.5,7.2,6.4,5.6,4.8,4,3.3,2.3,2.2,2
"Domestic road transport, Tyre and brake wear, Cars and taxis",8.3,36%,8%,-1%,10%,7.5,7.5,7.6,7.6,7.8,7.9,8,8.1,8.2,8.4,8.4,8.4,8.6,8.6,8.6,8.6,8.7,8.7,8.6,8.6,8.4,8.4,8.4,8.4,8.6,8.7,8.9,9,9,9.1,6.9,7.7,8.3
"Domestic road transport, Tyre and brake wear, Light vans",2.8,12%,5%,31%,115%,1.3,1.4,1.3,1.4,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.9,2,2,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.4,2.6,2.6,2.6,2.7,2.4,2.7,2.8
"Domestic road transport, Tyre and brake wear, Heavy goods vehicles",1.8,8%,0%,11%,13%,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.8,1.8
"Domestic road transport, Tyre and brake wear, Buses and coaches",0.3,1%,14%,-29%,-24%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.3
"Domestic road transport, Tyre and brake wear, Motorcycles and mopeds",0,0%,12%,12%,-19%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total domestic road transport, Tyre and brake wear",13.3,57%,6%,5%,22%,10.9,10.9,10.9,11,11.2,11.4,11.6,11.9,12.1,12.3,12.3,12.4,12.7,12.8,12.9,12.9,13.1,13.2,13,12.8,12.7,12.7,12.6,12.7,13,13.3,13.6,13.7,13.8,13.9,11.3,12.5,13.3
"Domestic road transport, Road abrasion, Cars and taxis",3.1,13%,11%,2%,19%,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.9,2.9,2.9,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,3,3.1,3.2,3.2,3.3,3.3,3.3,2.5,2.8,3.1
"Domestic road transport, Road abrasion, Light vans",0.7,3%,6%,36%,133%,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7
"Domestic road transport, Road abrasion, Heavy goods vehicles",1.1,5%,-1%,11%,13%,1,1,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.2,1.1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1,1.1,1.1
"Domestic road transport, Road abrasion, Buses and coaches",0.1,1%,14%,-29%,-28%,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
"Domestic road transport, Road abrasion, Motorcycles and mopeds",0,0%,12%,9%,-17%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total domestic road transport, Road abrasion",5,22%,7%,6%,24%,4.1,4.1,4.1,4.1,4.2,4.3,4.4,4.5,4.6,4.6,4.6,4.7,4.8,4.8,4.9,4.9,4.9,5,4.9,4.8,4.8,4.8,4.7,4.8,4.9,5,5.1,5.2,5.2,5.2,4.2,4.7,5
Total domestic road transport,20.3,87%,4%,-25%,-47%,38.1,40.1,41.1,42.4,43.1,43.4,43.9,42.8,42.3,41.4,37.6,36.9,36.1,35.6,35.1,34.3,33.7,33.1,31.7,30.1,29.4,27.8,26.9,25.9,25.2,24.7,24.2,23.7,22.9,22.4,17.8,19.4,20.3
"Domestic non-road transport, Rail",0.3,2%,-3%,-26%,-70%,1.2,1.1,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.3,1.2,1.1,1.1,1,1.1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.3,0.4,0.3
"Domestic non-road transport, Aviation (landing and takeoff) [note 4]",0.1,1%,101%,-16%,-13%,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
"Domestic non-road transport, Shipping [note 5]",2,9%,5%,-39%,-89%,17.3,15,13.1,12.8,13.6,13.8,13.5,12.6,12.5,12.2,10.8,10.3,10.6,10.1,10.1,10.2,9.6,6.6,5.4,4.8,4,3.4,3.2,2.9,2.8,2.6,2.6,2.6,2.6,2.6,1.8,1.9,2
"Domestic non-road transport, Other [note 6]",0.3,1%,4%,-55%,-86%,2.3,2.2,2.1,2,1.9,1.8,1.8,1.7,1.7,1.6,1.5,1.6,1.7,1.5,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.3
Total domestic non-road transport,2.8,12%,6%,-39%,-87%,20.9,18.5,16.6,16.2,16.8,17,16.6,15.7,15.6,15.3,13.9,13.3,13.6,13,12.8,12.8,12.2,8.9,7.7,6.4,5.5,4.8,4.6,4.1,4,3.8,3.8,3.7,3.7,3.7,2.5,2.6,2.8
"Military, Aircraft",0.1,0%,3%,-41%,-73%,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Military, Shipping",0.1,1%,-18%,-66%,-87%,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
Total domestic military transport,0.2,1%,-11%,-59%,-84%,1.2,1.1,1,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Total domestic transport,23.3,100%,5%,-27%,-61%,60.2,59.7,58.8,59.5,60.9,61.3,61.4,59.4,58.5,57.5,52.1,50.9,50.3,49.2,48.6,47.8,46.5,42.7,40,37.1,35.5,33.1,32,30.4,29.5,28.7,28.2,27.6,26.9,26.4,20.5,22.3,23.3
"Net domestic emissions all sources [notes 7, 10]",126.6,[z],1%,-7%,-66%,376.4,373.9,351.6,325.1,305.4,279.9,278.1,261.1,247,239.8,226,229.8,200,211.7,195,190,185,172.5,155.3,143.4,153.6,141.7,136.6,143.4,137.9,136.3,137.9,143.4,139.3,135.5,119.7,125.7,126.6
Transport as a percentage of net domestic emissions (%) [note 10],18%,[z],[z],[z],[z],16%,16%,17%,18%,20%,22%,22%,23%,24%,24%,23%,22%,25%,23%,25%,25%,25%,25%,26%,26%,23%,23%,23%,21%,21%,21%,20%,19%,19%,19%,17%,18%,18%
Road transport resuspension [note 8],21.7,[z],9%,6%,28%,16.9,17,17,17,17.4,17.8,18.2,18.6,19,19.3,19.3,19.6,20,20.2,20.4,20.4,20.8,21,20.8,20.6,20.3,20.4,20.4,20.5,21,21.4,21.9,22.2,22.4,22.7,17.8,19.9,21.7
"Transport memo items, Aviation (cruise) [notes 4, 7]",1.2,[z],105%,-12%,-6%,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.5,1.5,1.6,1.5,1.5,1.5,1.6,1.7,1.7,1.6,1.6,1.5,1.4,1.5,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,0.6,0.6,1.2
