Transport type and mode,2022 emphasised (ktPM2.5),Proportion of domestic transport emissions 2022 (%),Percentage change 2021 to 2022 (%),Percentage change 2012 to 2022 (%),Percentage change 1990 to 2022 (%),1990 (ktPM2.5),1991 (ktPM2.5),1992 (ktPM2.5),1993 (ktPM2.5),1994 (ktPM2.5),1995 (ktPM2.5),1996 (ktPM2.5),1997 (ktPM2.5),1998 (ktPM2.5),1999 (ktPM2.5),2000 (ktPM2.5),2001 (ktPM2.5),2002 (ktPM2.5),2003 (ktPM2.5),2004 (ktPM2.5),2005 (ktPM2.5),2006 (ktPM2.5),2007 (ktPM2.5),2008 (ktPM2.5),2009 (ktPM2.5),2010 (ktPM2.5),2011 (ktPM2.5),2012 (ktPM2.5),2013 (ktPM2.5),2014 (ktPM2.5),2015 (ktPM2.5),2016 (ktPM2.5),2017 (ktPM2.5),2018 (ktPM2.5),2019 (ktPM2.5),2020 (ktPM2.5),2021 (ktPM2.5),2022 (ktPM2.5)
"Domestic road transport, Exhaust emissions, Cars and taxis",1.1,8%,-11%,-75%,-80%,5.6,6.3,7.1,7.5,7.8,8.1,8.6,8.3,8.3,8.1,6.8,6.6,6.4,6.2,6.1,6,5.8,5.8,5.8,5.6,5.4,4.8,4.5,4.1,3.5,3.2,2.9,2.5,2.2,1.9,1.2,1.2,1.1
"Domestic road transport, Exhaust emissions, Light vans",0.5,4%,-14%,-81%,-90%,5.5,6.8,7.3,8.1,8.5,8.1,8,7.5,7.4,7,5.8,5.7,5.3,5.1,5,4.8,4.4,4.2,3.8,3.5,3.5,3,2.8,2.5,2.1,1.8,1.6,1.3,1.1,0.9,0.6,0.6,0.5
"Domestic road transport, Exhaust emissions, Heavy goods vehicles",0.2,2%,-16%,-86%,-97%,9.2,9.1,8.8,8.9,8.8,8.7,8.6,8.2,7.7,7.3,6.4,6,5.7,5.4,5.2,4.8,4.5,4.1,3.3,2.7,2.4,2.1,1.8,1.5,1.3,1.1,0.9,0.7,0.6,0.4,0.3,0.3,0.2
"Domestic road transport, Exhaust emissions, Buses and coaches",0.1,0%,2%,-83%,-97%,2.6,2.8,2.7,2.7,2.7,2.7,2.5,2.3,2.1,1.9,1.5,1.3,1.2,1.1,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1
"Domestic road transport, Exhaust emissions, Motorcycles and mopeds",0,0%,-1%,-63%,-92%,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
"Domestic road transport, Exhaust emissions, Other [note 3]",0,0%,0%,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],0,0,0,0,0
"Total domestic road transport, Exhaust emissions",2,14%,-12%,-79%,-91%,23.1,25.1,26.1,27.4,27.8,27.7,27.9,26.5,25.6,24.5,20.7,19.8,18.7,18,17.3,16.5,15.7,14.8,13.7,12.4,11.9,10.4,9.5,8.5,7.2,6.4,5.6,4.8,4,3.3,2.3,2.2,2
"Domestic road transport, Tyre and brake wear, Cars and taxis",4.3,30%,9%,-1%,12%,3.8,3.8,3.9,3.9,3.9,4,4.1,4.1,4.2,4.3,4.2,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.6,3.5,3.9,4.3
"Domestic road transport, Tyre and brake wear, Light vans",1.5,10%,5%,31%,117%,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.4,1.3,1.4,1.5
"Domestic road transport, Tyre and brake wear, Heavy goods vehicles",1,7%,0%,12%,17%,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,0.9,1,1
